Year,Month,Breed,Total
2021,April,AIREDALE TERR,145
2021,August,AIREDALE TERR,144
2021,December,AIREDALE TERR,142
2021,July,AIREDALE TERR,142
2021,June,AIREDALE TERR,143
2021,March,AIREDALE TERR,145
2021,May,AIREDALE TERR,145
2021,November,AIREDALE TERR,144
2021,October,AIREDALE TERR,144
2021,September,AIREDALE TERR,143
2022,January,AIREDALE TERR,141
2022,July,AIREDALE TERR,135
2022,November,AIREDALE TERR,139
2022,October,AIREDALE TERR,140
2023,February,AIREDALE TERR,134
2021,April,AKITA,187
2021,August,AKITA,196
2021,December,AKITA,193
2021,July,AKITA,192
2021,March,AKITA,191
2021,May,AKITA,191
2021,November,AKITA,192
2021,October,AKITA,194
2021,September,AKITA,191
2022,December,AKITA,202
2022,January,AKITA,201
2022,July,AKITA,192
2022,March,AKITA,195
2022,November,AKITA,201
2022,October,AKITA,197
2022,September,AKITA,197
2023,February,AKITA,200
2023,January,AKITA,205
2021,April,ALASK MALAMUTE,294
2021,August,ALASK MALAMUTE,297
2021,December,ALASK MALAMUTE,292
2021,July,ALASK MALAMUTE,292
2021,June,ALASK MALAMUTE,288
2021,March,ALASK MALAMUTE,294
2021,May,ALASK MALAMUTE,294
2021,November,ALASK MALAMUTE,289
2021,October,ALASK MALAMUTE,290
2021,September,ALASK MALAMUTE,290
2022,August,ALASK MALAMUTE,285
2022,December,ALASK MALAMUTE,277
2022,January,ALASK MALAMUTE,289
2022,July,ALASK MALAMUTE,286
2022,June,ALASK MALAMUTE,289
2022,March,ALASK MALAMUTE,288
2022,November,ALASK MALAMUTE,286
2022,October,ALASK MALAMUTE,283
2022,September,ALASK MALAMUTE,289
2021,July,ALASKAN HUSKY,700
2021,June,ALASKAN HUSKY,711
2021,March,ALASKAN HUSKY,699
2021,May,ALASKAN HUSKY,699
2021,November,ALASKAN HUSKY,691
2021,October,ALASKAN HUSKY,695
2021,September,ALASKAN HUSKY,694
2022,August,ALASKAN HUSKY,722
2022,December,ALASKAN HUSKY,714
2022,January,ALASKAN HUSKY,704
2022,July,ALASKAN HUSKY,717
2022,June,ALASKAN HUSKY,711
2022,March,ALASKAN HUSKY,715
2022,November,ALASKAN HUSKY,715
2022,October,ALASKAN HUSKY,719
2022,September,ALASKAN HUSKY,727
2023,February,ALASKAN HUSKY,720
2023,January,ALASKAN HUSKY,715
2021,April,AM PIT BULL TER,511
2021,August,AM PIT BULL TER,515
2021,December,AM PIT BULL TER,484
2021,July,AM PIT BULL TER,524
2021,June,AM PIT BULL TER,515
2022,December,AM PIT BULL TER,456
2022,January,AM PIT BULL TER,480
2022,July,AM PIT BULL TER,456
2022,June,AM PIT BULL TER,461
2022,March,AM PIT BULL TER,472
2022,November,AM PIT BULL TER,456
2022,October,AM PIT BULL TER,457
2022,September,AM PIT BULL TER,460
2023,February,AM PIT BULL TER,467
2023,January,AM PIT BULL TER,462
2021,April,AMER BULLDOG,196
2021,August,AMER BULLDOG,207
2021,December,AMER BULLDOG,200
2021,June,AMER BULLDOG,208
2021,March,AMER BULLDOG,203
2021,May,AMER BULLDOG,203
2021,November,AMER BULLDOG,200
2021,September,AMER BULLDOG,210
2022,August,AMER BULLDOG,216
2022,December,AMER BULLDOG,215
2022,July,AMER BULLDOG,219
2022,June,AMER BULLDOG,224
2022,March,AMER BULLDOG,216
2022,November,AMER BULLDOG,214
2022,October,AMER BULLDOG,214
2022,September,AMER BULLDOG,213
2023,February,AMER BULLDOG,221
2023,January,AMER BULLDOG,217
2021,April,AMER ESKIMO,268
2021,August,AMER ESKIMO,259
2021,December,AMER ESKIMO,252
2021,June,AMER ESKIMO,269
2021,March,AMER ESKIMO,267
2021,May,AMER ESKIMO,267
2021,October,AMER ESKIMO,257
2021,September,AMER ESKIMO,258
2022,December,AMER ESKIMO,223
2022,January,AMER ESKIMO,243
2022,June,AMER ESKIMO,246
2022,March,AMER ESKIMO,238
2022,November,AMER ESKIMO,224
2022,October,AMER ESKIMO,233
2022,September,AMER ESKIMO,240
2023,February,AMER ESKIMO,219
2023,January,AMER ESKIMO,221
2021,April,AMERICAN STAFF,328
2021,August,AMERICAN STAFF,312
2021,July,AMERICAN STAFF,311
2021,June,AMERICAN STAFF,328
2021,May,AMERICAN STAFF,334
2021,November,AMERICAN STAFF,308
2021,October,AMERICAN STAFF,308
2021,September,AMERICAN STAFF,313
2022,August,AMERICAN STAFF,313
2022,January,AMERICAN STAFF,303
2022,July,AMERICAN STAFF,315
2022,March,AMERICAN STAFF,307
2022,November,AMERICAN STAFF,311
2022,October,AMERICAN STAFF,312
2022,September,AMERICAN STAFF,316
2023,February,AMERICAN STAFF,306
2023,January,AMERICAN STAFF,307
2021,April,AUST CATTLE DOG,1065
2021,August,AUST CATTLE DOG,1101
2021,December,AUST CATTLE DOG,1090
2021,July,AUST CATTLE DOG,1090
2021,June,AUST CATTLE DOG,1077
2021,March,AUST CATTLE DOG,1077
2021,May,AUST CATTLE DOG,1077
2021,November,AUST CATTLE DOG,1090
2021,October,AUST CATTLE DOG,1091
2021,September,AUST CATTLE DOG,1095
2022,August,AUST CATTLE DOG,1066
2022,December,AUST CATTLE DOG,1060
2022,January,AUST CATTLE DOG,1111
2022,July,AUST CATTLE DOG,1082
2022,June,AUST CATTLE DOG,1098
2022,March,AUST CATTLE DOG,1087
2022,September,AUST CATTLE DOG,1067
2022,August,AUST KELPIE,162
2022,December,AUST KELPIE,163
2022,January,AUST KELPIE,165
2022,July,AUST KELPIE,162
2022,June,AUST KELPIE,158
2022,March,AUST KELPIE,161
2022,November,AUST KELPIE,161
2022,October,AUST KELPIE,164
2022,September,AUST KELPIE,165
2023,February,AUST KELPIE,162
2023,January,AUST KELPIE,162
2021,April,AUST SHEPHERD,2232
2021,August,AUST SHEPHERD,2287
2021,December,AUST SHEPHERD,2327
2021,July,AUST SHEPHERD,2288
2021,June,AUST SHEPHERD,2285
2021,March,AUST SHEPHERD,2256
2021,May,AUST SHEPHERD,2256
2021,November,AUST SHEPHERD,2315
2021,October,AUST SHEPHERD,2298
2021,September,AUST SHEPHERD,2292
2022,August,AUST SHEPHERD,2454
2022,December,AUST SHEPHERD,2450
2022,January,AUST SHEPHERD,2375
2022,July,AUST SHEPHERD,2441
2022,June,AUST SHEPHERD,2433
2022,March,AUST SHEPHERD,2380
2022,November,AUST SHEPHERD,2479
2022,October,AUST SHEPHERD,2466
2022,September,AUST SHEPHERD,2452
2023,February,AUST SHEPHERD,2483
2023,January,AUST SHEPHERD,2478
2021,April,BASSET HOUND,236
2021,August,BASSET HOUND,237
2021,December,BASSET HOUND,224
2021,July,BASSET HOUND,242
2021,June,BASSET HOUND,246
2021,March,BASSET HOUND,244
2021,May,BASSET HOUND,244
2021,November,BASSET HOUND,225
2021,October,BASSET HOUND,231
2021,September,BASSET HOUND,235
2022,August,BASSET HOUND,216
2022,December,BASSET HOUND,209
2022,January,BASSET HOUND,224
2022,July,BASSET HOUND,217
2022,June,BASSET HOUND,219
2022,March,BASSET HOUND,225
2022,November,BASSET HOUND,211
2022,October,BASSET HOUND,210
2022,September,BASSET HOUND,211
2023,February,BASSET HOUND,214
2023,January,BASSET HOUND,214
2021,April,BEAGLE,1141
2021,December,BEAGLE,1059
2021,June,BEAGLE,1130
2021,March,BEAGLE,1148
2021,May,BEAGLE,1148
2021,November,BEAGLE,1075
2021,October,BEAGLE,1089
2021,September,BEAGLE,1099
2022,December,BEAGLE,1036
2022,January,BEAGLE,1055
2022,June,BEAGLE,1055
2022,March,BEAGLE,1040
